0.0054077,0.0027121,0.54077,0.27121,1.8309,0.49175
0.023717,0.0076295,1.8445,0.49714,-2.3269,-1.5239
0.00044767,-0.007609,-2.2719,-1.4917,0.87386,-1.0423
0.0091863,-0.018032,0.86715,-1.0262,0.32026,-0.50401
0.012389,-0.023072,0.32061,-0.44958,-1.3169,0.039373
-0.00078048,-0.022678,-1.3152,0.11029,-0.41186,1.0915
-0.004899,-0.011763,-0.4361,1.1353,0.36616,-0.30537
-0.0012374,-0.014817,0.3446,-0.29164,3.6163,1.2417
0.034926,-0.0024004,3.5991,1.2688,2.718,0.40352
0.062106,0.0016349,2.7854,0.47817,-1.4835,1.06
0.047271,0.012235,-1.3577,1.1809,2.9457,0.057625
0.076728,0.012811,3.0524,0.12768,0.5634,-0.78837
0.082362,0.0049274,0.72959,-0.66061,-0.23298,-1.6447
0.080032,-0.01152,-0.063419,-1.49,0.57041,-0.026632
0.085736,-0.011786,0.71887,0.15639,-0.36573,0.62834
0.082079,-0.0055029,-0.20615,0.82328,-0.28342,-0.46935
0.079245,-0.010196,-0.12486,-0.29428,1.3501,-0.72271
0.092746,-0.017423,1.4983,-0.54391,1.2492,-0.53063
0.10524,-0.02273,1.4172,-0.31042,1.2378,-1.3587
0.11762,-0.036316,1.4254,-1.1029,0.47673,-0.80344
0.12238,-0.044351,0.67537,-0.49586,-1.4146,-0.51493
0.10824,-0.0495,-1.2145,-0.18178,0.55462,-0.26914
0.11378,-0.052191,0.72138,0.046106,1.4645,-0.39583
0.12843,-0.05615,1.6396,-0.064151,0.29136,0.24609
0.13134,-0.053689,0.49172,0.61486,0.83205,-0.25971
0.13966,-0.056286,1.0407,0.10995,0.50849,1.4331
0.14475,-0.041955,0.73108,1.8245,-0.55223,-0.059064
0.13923,-0.042546,-0.30519,0.31383,0.060112,1.4518
0.13983,-0.028028,0.29557,1.8149,-1.043,-1.0625
0.1294,-0.038653,-0.79183,-0.7273,0.67374,0.19386
0.13613,-0.036714,0.89352,0.52959,-1.3888,-0.60702
0.12225,-0.042785,-1.1537,-0.26175,-1.2764,0.27386
0.10948,-0.040046,-1.075,0.60361,-0.99287,0.29853
0.099553,-0.037061,-0.81417,0.59736,-3.1232,-2.4717
0.068321,-0.061778,-2.9613,-2.1986,1.3719,-1.5948
0.08204,-0.077726,1.4467,-1.3347,0.24081,-1.7687
0.084448,-0.095413,0.32707,-1.4493,-0.83267,0.044688
